2023-09-24 23:20:09 status unpacked libbpf0:arm64 1:0.3-2
2023-09-24 23:20:09 install libmd0:arm64 <none> 1.0.3-3
2023-09-24 23:20:09 status half-installed libmd0:arm64 1.0.3-3
2023-09-24 23:20:09 status unpacked libmd0:arm64 1.0.3-3
2023-09-24 23:20:09 install libbsd0:arm64 <none> 0.11.3-1
2023-09-24 23:20:09 status half-installed libbsd0:arm64 0.11.3-1
2023-09-24 23:20:09 status unpacked libbsd0:arm64 0.11.3-1
2023-09-24 23:20:09 install libcap2:arm64 <none> 1:2.44-1
2023-09-24 23:20:09 status half-installed libcap2:arm64 1:2.44-1
2023-09-24 23:20:09 status unpacked libcap2:arm64 1:2.44-1
2023-09-24 23:20:09 install libmnl0:arm64 <none> 1.0.4-3
2023-09-24 23:20:09 status half-installed libmnl0:arm64 1.0.4-3
2023-09-24 23:20:09 status unpacked libmnl0:arm64 1.0.4-3
2023-09-24 23:20:09 install libxtables12:arm64 <none> 1.8.7-1
2023-09-24 23:20:09 status half-installed libxtables12:arm64 1.8.7-1
2023-09-24 23:20:10 status unpacked libxtables12:arm64 1.8.7-1
2023-09-24 23:20:10 install libcap2-bin:arm64 <none> 1:2.44-1
2023-09-24 23:20:10 status half-installed libcap2-bin:arm64 1:2.44-1
2023-09-24 23:20:10 status unpacked libcap2-bin:arm64 1:2.44-1
2023-09-24 23:20:10 install iproute2:arm64 <none> 5.10.0-4
2023-09-24 23:20:10 status half-installed iproute2:arm64 5.10.0-4
2023-09-24 23:20:10 status unpacked iproute2:arm64 5.10.0-4
2023-09-24 23:20:10 install libatm1:arm64 <none> 1:2.5.1-4
2023-09-24 23:20:10 status half-installed libatm1:arm64 1:2.5.1-4
2023-09-24 23:20:10 status unpacked libatm1:arm64 1:2.5.1-4
2023-09-24 23:20:10 install libpam-cap:arm64 <none> 1:2.44-1
2023-09-24 23:20:10 status half-installed libpam-cap:arm64 1:2.44-1
2023-09-24 23:20:10 status unpacked libpam-cap:arm64 1:2.44-1
2023-09-24 23:20:10 startup packages configure
2023-09-24 23:20:10 configure libatm1:arm64 1:2.5.1-4 <none>
2023-09-24 23:20:10 status unpacked libatm1:arm64 1:2.5.1-4
2023-09-24 23:20:10 status half-configured libatm1:arm64 1:2.5.1-4
2023-09-24 23:20:10 status installed libatm1:arm64 1:2.5.1-4
2023-09-24 23:20:10 configure libcap2:arm64 1:2.44-1 <none>
2023-09-24 23:20:10 status unpacked libcap2:arm64 1:2.44-1
2023-09-24 23:20:10 status half-configured libcap2:arm64 1:2.44-1
2023-09-24 23:20:10 status installed libcap2:arm64 1:2.44-1
2023-09-24 23:20:10 configure libcap2-bin:arm64 1:2.44-1 <none>
2023-09-24 23:20:10 status unpacked libcap2-bin:arm64 1:2.44-1
2023-09-24 23:20:10 status half-configured libcap2-bin:arm64 1:2.44-1
2023-09-24 23:20:10 status installed libcap2-bin:arm64 1:2.44-1
2023-09-24 23:20:10 configure libmnl0:arm64 1.0.4-3 <none>
2023-09-24 23:20:10 status unpacked libmnl0:arm64 1.0.4-3
2023-09-24 23:20:10 status half-configured libmnl0:arm64 1.0.4-3
2023-09-24 23:20:10 status installed libmnl0:arm64 1.0.4-3
2023-09-24 23:20:10 configure libxtables12:arm64 1.8.7-1 <none>
2023-09-24 23:20:10 status unpacked libxtables12:arm64 1.8.7-1
2023-09-24 23:20:10 status half-configured libxtables12:arm64 1.8.7-1
2023-09-24 23:20:10 status installed libxtables12:arm64 1.8.7-1
2023-09-24 23:20:10 configure libmd0:arm64 1.0.3-3 <none>
2023-09-24 23:20:10 status unpacked libmd0:arm64 1.0.3-3
2023-09-24 23:20:10 status half-configured libmd0:arm64 1.0.3-3
2023-09-24 23:20:10 status installed libmd0:arm64 1.0.3-3
2023-09-24 23:20:10 configure libbsd0:arm64 0.11.3-1 <none>
2023-09-24 23:20:10 status unpacked libbsd0:arm64 0.11.3-1
2023-09-24 23:20:10 status half-configured libbsd0:arm64 0.11.3-1
2023-09-24 23:20:10 status installed libbsd0:arm64 0.11.3-1
2023-09-24 23:20:10 configure libelf1:arm64 0.183-1 <none>
2023-09-24 23:20:10 status unpacked libelf1:arm64 0.183-1
2023-09-24 23:20:10 status half-configured libelf1:arm64 0.183-1
2023-09-24 23:20:10 status installed libelf1:arm64 0.183-1
2023-09-24 23:20:10 configure libpam-cap:arm64 1:2.44-1 <none>
2023-09-24 23:20:10 status unpacked libpam-cap:arm64 1:2.44-1
2023-09-24 23:20:10 status half-configured libpam-cap:arm64 1:2.44-1
2023-09-24 23:20:10 status installed libpam-cap:arm64 1:2.44-1
2023-09-24 23:20:10 configure libbpf0:arm64 1:0.3-2 <none>
2023-09-24 23:20:10 status unpacked libbpf0:arm64 1:0.3-2
2023-09-24 23:20:10 status half-configured libbpf0:arm64 1:0.3-2
2023-09-24 23:20:10 status installed libbpf0:arm64 1:0.3-2
2023-09-24 23:20:10 configure iproute2:arm64 5.10.0-4 <none>
2023-09-24 23:20:10 status unpacked iproute2:arm64 5.10.0-4
2023-09-24 23:20:10 status half-configured iproute2:arm64 5.10.0-4
2023-09-24 23:20:10 status installed iproute2:arm64 5.10.0-4
2023-09-24 23:20:10 trigproc libc-bin:arm64 2.31-13+deb11u2 <none>
2023-09-24 23:20:10 status half-configured libc-bin:arm64 2.31-13+deb11u2
2023-09-24 23:20:10 status installed libc-bin:arm64 2.31-13+deb11u2
2023-09-24 23:43:24 startup archives unpack
2023-09-24 23:43:24 install libelf1:arm64 <none> 0.183-1
2023-09-24 23:43:24 status triggers-pending libc-bin:arm64 2.31-13+deb11u2
2023-09-24 23:43:24 status half-installed libelf1:arm64 0.183-1
2023-09-24 23:43:24 status unpacked libelf1:arm64 0.183-1
2023-09-24 23:43:24 install libbpf0:arm64 <none> 1:0.3-2
2023-09-24 23:43:24 status half-installed libbpf0:arm64 1:0.3-2
2023-09-24 23:43:24 status unpacked libbpf0:arm64 1:0.3-2
2023-09-24 23:43:24 install libmd0:arm64 <none> 1.0.3-3
2023-09-24 23:43:24 status half-installed libmd0:arm64 1.0.3-3
2023-09-24 23:43:24 status unpacked libmd0:arm64 1.0.3-3
2023-09-24 23:43:24 install libbsd0:arm64 <none> 0.11.3-1
2023-09-24 23:43:24 status half-installed libbsd0:arm64 0.11.3-1
2023-09-24 23:43:24 status unpacked libbsd0:arm64 0.11.3-1
2023-09-24 23:43:24 install libcap2:arm64 <none> 1:2.44-1
2023-09-24 23:43:24 status half-installed libcap2:arm64 1:2.44-1
2023-09-24 23:43:24 status unpacked libcap2:arm64 1:2.44-1
2023-09-24 23:43:24 install libmnl0:arm64 <none> 1.0.4-3
2023-09-24 23:43:24 status half-installed libmnl0:arm64 1.0.4-3
2023-09-24 23:43:24 status unpacked libmnl0:arm64 1.0.4-3
2023-09-24 23:43:24 install libxtables12:arm64 <none> 1.8.7-1
2023-09-24 23:43:24 status half-installed libxtables12:arm64 1.8.7-1
2023-09-24 23:43:24 status unpacked libxtables12:arm64 1.8.7-1
2023-09-24 23:43:24 install libcap2-bin:arm64 <none> 1:2.44-1
2023-09-24 23:43:24 status half-installed libcap2-bin:arm64 1:2.44-1
2023-09-24 23:43:24 status unpacked libcap2-bin:arm64 1:2.44-1
2023-09-24 23:43:24 install iproute2:arm64 <none> 5.10.0-4
2023-09-24 23:43:24 status half-installed iproute2:arm64 5.10.0-4
2023-09-24 23:43:24 status unpacked iproute2:arm64 5.10.0-4
2023-09-24 23:43:24 install libatm1:arm64 <none> 1:2.5.1-4
2023-09-24 23:43:24 status half-installed libatm1:arm64 1:2.5.1-4
2023-09-24 23:43:24 status unpacked libatm1:arm64 1:2.5.1-4
2023-09-24 23:43:24 install libpam-cap:arm64 <none> 1:2.44-1
2023-09-24 23:43:24 status half-installed libpam-cap:arm64 1:2.44-1
2023-09-24 23:43:24 status unpacked libpam-cap:arm64 1:2.44-1
2023-09-24 23:43:24 startup packages configure
2023-09-24 23:43:24 configure libatm1:arm64 1:2.5.1-4 <none>
2023-09-24 23:43:24 status unpacked libatm1:arm64 1:2.5.1-4
2023-09-24 23:43:24 status half-configured libatm1:arm64 1:2.5.1-4
2023-09-24 23:43:24 status installed libatm1:arm64 1:2.5.1-4
2023-09-24 23:43:24 configure libcap2:arm64 1:2.44-1 <none>
2023-09-24 23:43:24 status unpacked libcap2:arm64 1:2.44-1
2023-09-24 23:43:24 status half-configured libcap2:arm64 1:2.44-1
2023-09-24 23:43:24 status installed libcap2:arm64 1:2.44-1
2023-09-24 23:43:24 configure libcap2-bin:arm64 1:2.44-1 <none>
2023-09-24 23:43:24 status unpacked libcap2-bin:arm64 1:2.44-1
2023-09-24 23:43:24 status half-configured libcap2-bin:arm64 1:2.44-1
2023-09-24 23:43:24 status installed libcap2-bin:arm64 1:2.44-1
2023-09-24 23:43:24 configure libmnl0:arm64 1.0.4-3 <none>
2023-09-24 23:43:24 status unpacked libmnl0:arm64 1.0.4-3
2023-09-24 23:43:24 status half-configured libmnl0:arm64 1.0.4-3
2023-09-24 23:43:24 status installed libmnl0:arm64 1.0.4-3
2023-09-24 23:43:24 configure libxtables12:arm64 1.8.7-1 <none>
2023-09-24 23:43:24 status unpacked libxtables12:arm64 1.8.7-1
2023-09-24 23:43:24 status half-configured libxtables12:arm64 1.8.7-1
2023-09-24 23:43:24 status installed libxtables12:arm64 1.8.7-1
2023-09-24 23:43:24 configure libmd0:arm64 1.0.3-3 <none>
2023-09-24 23:43:24 status unpacked libmd0:arm64 1.0.3-3
2023-09-24 23:43:24 status half-configured libmd0:arm64 1.0.3-3
2023-09-24 23:43:24 status installed libmd0:arm64 1.0.3-3
2023-09-24 23:43:24 configure libbsd0:arm64 0.11.3-1 <none>
2023-09-24 23:43:24 status unpacked libbsd0:arm64 0.11.3-1
2023-09-24 23:43:24 status half-configured libbsd0:arm64 0.11.3-1
2023-09-24 23:43:24 status installed libbsd0:arm64 0.11.3-1
2023-09-24 23:43:24 configure libelf1:arm64 0.183-1 <none>
2023-09-24 23:43:24 status unpacked libelf1:arm64 0.183-1
2023-09-24 23:43:24 status half-configured libelf1:arm64 0.183-1
2023-09-24 23:43:24 status installed libelf1:arm64 0.183-1
2023-09-24 23:43:24 configure libpam-cap:arm64 1:2.44-1 <none>
2023-09-24 23:43:24 status unpacked libpam-cap:arm64 1:2.44-1
2023-09-24 23:43:24 status half-configured libpam-cap:arm64 1:2.44-1
2023-09-24 23:43:24 status installed libpam-cap:arm64 1:2.44-1
2023-09-24 23:43:24 configure libbpf0:arm64 1:0.3-2 <none>
2023-09-24 23:43:24 status unpacked libbpf0:arm64 1:0.3-2
2023-09-24 23:43:24 status half-configured libbpf0:arm64 1:0.3-2
2023-09-24 23:43:24 status installed libbpf0:arm64 1:0.3-2
2023-09-24 23:43:24 configure iproute2:arm64 5.10.0-4 <none>
2023-09-24 23:43:24 status unpacked iproute2:arm64 5.10.0-4
2023-09-24 23:43:24 status half-configured iproute2:arm64 5.10.0-4
2023-09-24 23:43:25 status installed iproute2:arm64 5.10.0-4
2023-09-24 23:43:25 trigproc libc-bin:arm64 2.31-13+deb11u2 <none>
2023-09-24 23:43:25 status half-configured libc-bin:arm64 2.31-13+deb11u2
2023-09-24 23:43:25 status installed libc-bin:arm64 2.31-13+deb11u2
2023-09-24 23:45:04 startup archives unpack
2023-09-24 23:45:04 install libelf1:arm64 <none> 0.183-1
2023-09-24 23:45:04 status triggers-pending libc-bin:arm64 2.31-13+deb11u2
2023-09-24 23:45:04 status half-installed libelf1:arm64 0.183-1
2023-09-24 23:45:04 status unpacked libelf1:arm64 0.183-1
2023-09-24 23:45:04 install libbpf0:arm64 <none> 1:0.3-2
2023-09-24 23:45:04 status half-installed libbpf0:arm64 1:0.3-2
2023-09-24 23:45:04 status unpacked libbpf0:arm64 1:0.3-2
2023-09-24 23:45:04 install libmd0:arm64 <none> 1.0.3-3
2023-09-24 23:45:04 status half-installed libmd0:arm64 1.0.3-3
2023-09-24 23:45:04 status unpacked libmd0:arm64 1.0.3-3
2023-09-24 23:45:04 install libbsd0:arm64 <none> 0.11.3-1
2023-09-24 23:45:04 status half-installed libbsd0:arm64 0.11.3-1
2023-09-24 23:45:04 status unpacked libbsd0:arm64 0.11.3-1
2023-09-24 23:45:04 install libcap2:arm64 <none> 1:2.44-1
2023-09-24 23:45:04 status half-installed libcap2:arm64 1:2.44-1
2023-09-24 23:45:04 status unpacked libcap2:arm64 1:2.44-1
2023-09-24 23:45:04 install libmnl0:arm64 <none> 1.0.4-3
2023-09-24 23:45:04 status half-installed libmnl0:arm64 1.0.4-3
2023-09-24 23:45:04 status unpacked libmnl0:arm64 1.0.4-3
2023-09-24 23:45:04 install libxtables12:arm64 <none> 1.8.7-1
2023-09-24 23:45:04 status half-installed libxtables12:arm64 1.8.7-1
2023-09-24 23:45:04 status unpacked libxtables12:arm64 1.8.7-1
2023-09-24 23:45:04 install libcap2-bin:arm64 <none> 1:2.44-1
2023-09-24 23:45:04 status half-installed libcap2-bin:arm64 1:2.44-1
2023-09-24 23:45:04 status unpacked libcap2-bin:arm64 1:2.44-1
2023-09-24 23:45:04 install iproute2:arm64 <none> 5.10.0-4
2023-09-24 23:45:04 status half-installed iproute2:arm64 5.10.0-4
2023-09-24 23:45:04 status unpacked iproute2:arm64 5.10.0-4
2023-09-24 23:45:04 install libatm1:arm64 <none> 1:2.5.1-4
2023-09-24 23:45:04 status half-installed libatm1:arm64 1:2.5.1-4
2023-09-24 23:45:04 status unpacked libatm1:arm64 1:2.5.1-4
2023-09-24 23:45:04 install libpam-cap:arm64 <none> 1:2.44-1
2023-09-24 23:45:04 status half-installed libpam-cap:arm64 1:2.44-1
2023-09-24 23:45:04 status unpacked libpam-cap:arm64 1:2.44-1
2023-09-24 23:45:05 startup packages configure
2023-09-24 23:45:05 configure libatm1:arm64 1:2.5.1-4 <none>
2023-09-24 23:45:05 status unpacked libatm1:arm64 1:2.5.1-4
2023-09-24 23:45:05 status half-configured libatm1:arm64 1:2.5.1-4
2023-09-24 23:45:05 status installed libatm1:arm64 1:2.5.1-4
2023-09-24 23:45:05 configure libcap2:arm64 1:2.44-1 <none>
2023-09-24 23:45:05 status unpacked libcap2:arm64 1:2.44-1
2023-09-24 23:45:05 status half-configured libcap2:arm64 1:2.44-1
2023-09-24 23:45:05 status installed libcap2:arm64 1:2.44-1
2023-09-24 23:45:05 configure libcap2-bin:arm64 1:2.44-1 <none>
2023-09-24 23:45:05 status unpacked libcap2-bin:arm64 1:2.44-1
2023-09-24 23:45:05 status half-configured libcap2-bin:arm64 1:2.44-1
2023-09-24 23:45:05 status installed libcap2-bin:arm64 1:2.44-1
2023-09-24 23:45:05 configure libmnl0:arm64 1.0.4-3 <none>
2023-09-24 23:45:05 status unpacked libmnl0:arm64 1.0.4-3
2023-09-24 23:45:05 status half-configured libmnl0:arm64 1.0.4-3
2023-09-24 23:45:05 status installed libmnl0:arm64 1.0.4-3
2023-09-24 23:45:05 configure libxtables12:arm64 1.8.7-1 <none>
2023-09-24 23:45:05 status unpacked libxtables12:arm64 1.8.7-1
2023-09-24 23:45:05 status half-configured libxtables12:arm64 1.8.7-1
2023-09-24 23:45:05 status installed libxtables12:arm64 1.8.7-1
2023-09-24 23:45:05 configure libmd0:arm64 1.0.3-3 <none>
2023-09-24 23:45:05 status unpacked libmd0:arm64 1.0.3-3
2023-09-24 23:45:05 status half-configured libmd0:arm64 1.0.3-3
2023-09-24 23:45:05 status installed libmd0:arm64 1.0.3-3
2023-09-24 23:45:05 configure libbsd0:arm64 0.11.3-1 <none>
2023-09-24 23:45:05 status unpacked libbsd0:arm64 0.11.3-1
2023-09-24 23:45:05 status half-configured libbsd0:arm64 0.11.3-1
2023-09-24 23:45:05 status installed libbsd0:arm64 0.11.3-1
2023-09-24 23:45:05 configure libelf1:arm64 0.183-1 <none>
2023-09-24 23:45:05 status unpacked libelf1:arm64 0.183-1
2023-09-24 23:45:05 status half-configured libelf1:arm64 0.183-1
2023-09-24 23:45:05 status installed libelf1:arm64 0.183-1
2023-09-24 23:45:05 configure libpam-cap:arm64 1:2.44-1 <none>
2023-09-24 23:45:05 status unpacked libpam-cap:arm64 1:2.44-1
2023-09-24 23:45:05 status half-configured libpam-cap:arm64 1:2.44-1
2023-09-24 23:45:05 status installed libpam-cap:arm64 1:2.44-1
2023-09-24 23:45:05 configure libbpf0:arm64 1:0.3-2 <none>
2023-09-24 23:45:05 status unpacked libbpf0:arm64 1:0.3-2
2023-09-24 23:45:05 status half-configured libbpf0:arm64 1:0.3-2
2023-09-24 23:45:05 status installed libbpf0:arm64 1:0.3-2
2023-09-24 23:45:05 configure iproute2:arm64 5.10.0-4 <none>
2023-09-24 23:45:05 status unpacked iproute2:arm64 5.10.0-4
2023-09-24 23:45:05 status half-configured iproute2:arm64 5.10.0-4
2023-09-24 23:45:05 status installed iproute2:arm64 5.10.0-4
2023-09-24 23:45:05 trigproc libc-bin:arm64 2.31-13+deb11u2 <none>
2023-09-24 23:45:05 status half-configured libc-bin:arm64 2.31-13+deb11u2
2023-09-24 23:45:05 status installed libc-bin:arm64 2.31-13+deb11u2
2023-09-24 23:47:24 startup archives unpack
2023-09-24 23:47:24 install libelf1:arm64 <none> 0.183-1
2023-09-24 23:47:24 status triggers-pending libc-bin:arm64 2.31-13+deb11u2
2023-09-24 23:47:24 status half-installed libelf1:arm64 0.183-1
2023-09-24 23:47:24 status unpacked libelf1:arm64 0.183-1
2023-09-24 23:47:24 install libbpf0:arm64 <none> 1:0.3-2
2023-09-24 23:47:24 status half-installed libbpf0:arm64 1:0.3-2
2023-09-24 23:47:24 status unpacked libbpf0:arm64 1:0.3-2
2023-09-24 23:47:24 install libmd0:arm64 <none> 1.0.3-3
2023-09-24 23:47:24 status half-installed libmd0:arm64 1.0.3-3
2023-09-24 23:47:24 status unpacked libmd0:arm64 1.0.3-3
2023-09-24 23:47:24 install libbsd0:arm64 <none> 0.11.3-1
2023-09-24 23:47:24 status half-installed libbsd0:arm64 0.11.3-1
2023-09-24 23:47:24 status unpacked libbsd0:arm64 0.11.3-1
2023-09-24 23:47:24 install libcap2:arm64 <none> 1:2.44-1
2023-09-24 23:47:24 status half-installed libcap2:arm64 1:2.44-1
2023-09-24 23:47:24 status unpacked libcap2:arm64 1:2.44-1
2023-09-24 23:47:24 install libmnl0:arm64 <none> 1.0.4-3
2023-09-24 23:47:24 status half-installed libmnl0:arm64 1.0.4-3
2023-09-24 23:47:24 status unpacked libmnl0:arm64 1.0.4-3
2023-09-24 23:47:24 install libxtables12:arm64 <none> 1.8.7-1
